NO.,Time,Value,Pressure
???果:, Maximum:349N, Minimum:0N, Average:34.76N
373,오후 9:13:39,191 N,191.0000MPa
372,오후 9:13:39,308 N,308.0000MPa
371,오후 9:13:38,344 N,344.0000MPa
370,오후 9:13:38,345 N,345.0000MPa
369,오후 9:13:38,345 N,345.0000MPa
368,오후 9:13:38,346 N,346.0000MPa
367,오후 9:13:38,347 N,347.0000MPa
366,오후 9:13:38,349 N,349.0000MPa
365,오후 9:13:37,347 N,347.0000MPa
364,오후 9:13:37,336 N,336.0000MPa
363,오후 9:13:37,324 N,324.0000MPa
362,오후 9:13:37,305 N,305.0000MPa
361,오후 9:13:37,279 N,279.0000MPa
360,오후 9:13:36,245 N,245.0000MPa
359,오후 9:13:36,211 N,211.0000MPa
358,오후 9:13:36,176 N,176.0000MPa
357,오후 9:13:36,139 N,139.0000MPa
356,오후 9:13:36,94 N,94.0000MPa
355,오후 9:13:35,55 N,55.0000MPa
354,오후 9:13:35,28 N,28.0000MPa
353,오후 9:13:35,10 N,10.0000MPa
352,오후 9:13:35,0 N,0.0000MPa
351,오후 9:13:35,0 N,0.0000MPa
350,오후 9:13:34,0 N,0.0000MPa
349,오후 9:13:34,0 N,0.0000MPa
348,오후 9:13:34,0 N,0.0000MPa
347,오후 9:13:34,0 N,0.0000MPa
346,오후 9:13:34,0 N,0.0000MPa
345,오후 9:13:34,0 N,0.0000MPa
344,오후 9:13:33,0 N,0.0000MPa
343,오후 9:13:33,0 N,0.0000MPa
342,오후 9:13:33,0 N,0.0000MPa
341,오후 9:13:33,0 N,0.0000MPa
340,오후 9:13:33,0 N,0.0000MPa
339,오후 9:13:32,0 N,0.0000MPa
338,오후 9:13:32,0 N,0.0000MPa
337,오후 9:13:32,0 N,0.0000MPa
336,오후 9:13:32,0 N,0.0000MPa
335,오후 9:13:32,0 N,0.0000MPa
334,오후 9:13:31,0 N,0.0000MPa
333,오후 9:13:31,0 N,0.0000MPa
332,오후 9:13:31,0 N,0.0000MPa
331,오후 9:13:31,0 N,0.0000MPa
330,오후 9:13:31,0 N,0.0000MPa
329,오후 9:13:31,0 N,0.0000MPa
328,오후 9:13:30,0 N,0.0000MPa
327,오후 9:13:30,0 N,0.0000MPa
326,오후 9:13:30,0 N,0.0000MPa
325,오후 9:13:30,0 N,0.0000MPa
324,오후 9:13:30,0 N,0.0000MPa
323,오후 9:13:29,0 N,0.0000MPa
322,오후 9:13:29,0 N,0.0000MPa
321,오후 9:13:29,0 N,0.0000MPa
320,오후 9:13:29,0 N,0.0000MPa
319,오후 9:13:29,0 N,0.0000MPa
318,오후 9:13:28,0 N,0.0000MPa
317,오후 9:13:28,0 N,0.0000MPa
316,오후 9:13:28,0 N,0.0000MPa
315,오후 9:13:28,0 N,0.0000MPa
314,오후 9:13:28,0 N,0.0000MPa
313,오후 9:13:28,0 N,0.0000MPa
312,오후 9:13:27,0 N,0.0000MPa
311,오후 9:13:27,0 N,0.0000MPa
310,오후 9:13:27,0 N,0.0000MPa
309,오후 9:13:27,0 N,0.0000MPa
308,오후 9:13:27,0 N,0.0000MPa
307,오후 9:13:26,0 N,0.0000MPa
306,오후 9:13:26,0 N,0.0000MPa
305,오후 9:13:26,0 N,0.0000MPa
304,오후 9:13:26,0 N,0.0000MPa
303,오후 9:13:26,0 N,0.0000MPa
302,오후 9:13:25,0 N,0.0000MPa
301,오후 9:13:25,0 N,0.0000MPa
300,오후 9:13:25,0 N,0.0000MPa
299,오후 9:13:25,0 N,0.0000MPa
298,오후 9:13:25,0 N,0.0000MPa
297,오후 9:13:25,0 N,0.0000MPa
296,오후 9:13:24,0 N,0.0000MPa
295,오후 9:13:24,0 N,0.0000MPa
294,오후 9:13:24,0 N,0.0000MPa
293,오후 9:13:24,0 N,0.0000MPa
292,오후 9:13:24,0 N,0.0000MPa
291,오후 9:13:23,0 N,0.0000MPa
290,오후 9:13:23,0 N,0.0000MPa
289,오후 9:13:23,0 N,0.0000MPa
288,오후 9:13:23,0 N,0.0000MPa
287,오후 9:13:23,0 N,0.0000MPa
286,오후 9:13:22,0 N,0.0000MPa
285,오후 9:13:22,0 N,0.0000MPa
284,오후 9:13:22,0 N,0.0000MPa
283,오후 9:13:22,0 N,0.0000MPa
282,오후 9:13:22,0 N,0.0000MPa
281,오후 9:13:22,0 N,0.0000MPa
280,오후 9:13:21,0 N,0.0000MPa
279,오후 9:13:21,0 N,0.0000MPa
278,오후 9:13:21,0 N,0.0000MPa
277,오후 9:13:21,0 N,0.0000MPa
276,오후 9:13:21,0 N,0.0000MPa
275,오후 9:13:20,0 N,0.0000MPa
274,오후 9:13:20,0 N,0.0000MPa
273,오후 9:13:20,0 N,0.0000MPa
272,오후 9:13:20,0 N,0.0000MPa
271,오후 9:13:20,0 N,0.0000MPa
